Admit,GPA,SAT
1,3.1,1550
0,2.7,1360
1,2.6,1470
1,3.7,1450
1,3.1,1500
1,4,1440
1,3.4,1510
0,2.8,1120
1,4.2,1090
0,2.6,1300
1,3.2,1420
0,3.4,1270
1,4.3,1370
1,3.6,1400
0,3.1,1290
1,4.5,1330
1,4.2,1480
1,2.5,1520
1,2.6,1530
1,2.6,1510
0,3.4,1250
0,3.7,1120
1,3.3,1530
1,3.2,1590
1,3.5,1400
0,3.9,1280
1,4.3,1240
1,3.2,1220
0,2.5,1210
1,3.6,1580
1,4.4,1220
1,4.5,1460
0,2.6,1300
0,2.6,1180
0,2.6,1450
1,4.2,1460
1,3.5,1460
0,4.2,1060
0,3.2,1040
0,3.3,1500
1,2.8,1530
0,3.9,1310
1,3,1360
1,3,1270
1,3,1550
1,3.5,1080
1,3.4,1360
1,4.3,1330
0,3.2,1060
1,2.6,1430
0,3.1,1510
0,3,1070
1,4.2,1320
1,3.4,1280
0,3.2,1240
1,2.8,1480
0,3.3,1010
0,2.9,1150
1,4.3,1330
0,2.6,1470
1,4.3,1380
1,3.5,1440
1,4,1220
0,3.8,1220
1,2.8,1100
0,2.9,1130
1,2.7,1050
1,4.4,1010
0,4.2,1140
0,3.8,1010
1,4.5,1200
0,4.3,1380
0,4.2,1450
1,2.8,1180
1,4.4,1100
1,2.7,1340
1,4.2,1130
1,3.6,1520
1,3.2,1590
1,3.8,1330
1,2.6,1480
0,2.7,1240
0,3.5,1150
0,4.1,1200
0,4.1,1160
0,3.4,1000
0,2.9,1170
1,3.7,1030
1,2.8,1210
0,2.8,1070
1,3.3,1340
0,2.8,1290
1,3.2,1500
0,3.3,1040
1,3.8,1330
1,3,1350
1,3.6,1420
0,3.6,1010
1,4.2,1410
1,4.1,1050
0,4.4,1050
1,3.7,1570
0,3.8,1080
0,3,1070
1,2.8,1420
1,3.6,1460
1,4,1400
1,2.6,1560
0,2.9,1090
0,3.5,1050
1,4,1280
1,4.2,1240
0,3.6,1120
1,2.9,1560
1,3.3,1470
1,3.5,1440
0,3.9,1080
0,3.5,1310
0,3.3,1550
1,4.4,1320
